Date,7exp
9/14/17,1324.549216
9/15/17,1322.822656
9/18/17,1311.905447
9/19/17,1309.367442
9/20/17,1311.094595
9/21/17,1291.6
9/22/17,1294.343295
9/25/17,1292.822137
9/26/17,1299.676616
9/27/17,1281.912879
9/28/17,1279.503138
9/29/17,1282.47594
2010/2/17,1272.937453
2010/3/17,1270.453731
2010/4/17,1273.501301
2010/5/17,1273.757778
2010/6/17,1260.873063
2010/9/17,1277.393956
2010/10/17,1290.913553
2010/11/17,1288.733942
2010/12/17,1289.750364
10/13/17,1299.237681
10/16/17,1302.992419
10/17/17,1284.176619
10/18/17,1279.563441
10/19/17,1285.854286
10/20/17,1280.582206
10/23/17,1274.195035
10/24/17,1275.769435
10/25/17,1274.301408
10/26/17,1273.036316
10/27/17,1265.636713
10/30/17,1271.266899
10/31/17,1269.39375
2011/1/17,1276.391869
2011/2/17,1278.573793
2011/3/17,1266.410997
2011/6/17,1270.164384
2011/7/17,1274.931058
2011/8/17,1283.447619
2011/9/17,1284.260339
2011/10/17,1283.755405
11/13/17,1277.321717
11/14/17,1273.928859
11/15/17,1281.632776
11/16/17,1279.405333
11/17/17,1283.815116
11/20/17,1285.691391
11/21/17,1282.754785
11/22/17,1286.454605
11/23/17,1289.90082
11/24/17,1290.054248
11/27/17,1294.513029
11/28/17,1291.424675
11/29/17,1283.322492
11/30/17,1279.627097
2012/1/17,1274.868489
2012/4/17,1272.794231
2012/5/17,1265.554952
2012/6/17,1262.924204
2012/7/17,1254.11619
2012/8/17,1249.713924
2012/11/17,1246.172713
2012/12/17,1239.84717
12/13/17,1241.622414
12/14/17,1250.08
12/15/17,1253.727726
12/18/17,1259.804969
12/19/17,1259.554334
12/20/17,1263.808642
12/21/17,1263.810923
12/22/17,1271.329294
12/27/17,1278.847095
12/28/17,1290.590244
12/29/17,1301.244453
2001/2/18,1311.897879
2001/3/18,1314.782779
2001/4/18,1314.378313
2001/5/18,1317.060511
2001/8/18,1319.894311
2001/9/18,1310.837612
2001/10/18,1319.692262
2001/11/18,1323.031602
2001/12/18,1326.826036
1/15/18,1339.422861
1/16/18,1333.958824
1/17/18,1335.779619
1/18/18,1332.288889
1/19/18,1335.0707
1/22/18,1332.693023
1/23/18,1333.502029
1/24/18,1354.036416
1/25/18,1355.299856
1/26/18,1353.478161
1/29/18,1344.07063
1/30/18,1345.132
1/31/18,1345.283048
2002/1/18,1341.540341
2002/2/18,1331.224221
2002/5/18,1333.701695
2002/6/18,1331.47662
2002/7/18,1324.650562
2002/8/18,1315.347479
2002/9/18,1313.982682
2002/12/18,1322.274373
2/13/18,1325.358333
2/14/18,1336.379086
2/15/18,1352.757735
2/16/18,1352.40303
2/19/18,1346.841758
2/20/18,1340.017123
2/21/18,1330.564481
2/22/18,1328.390872
2/23/18,1327.986413
2/26/18,1333.596477
2/27/18,1325.762432
2/28/18,1317.777224
2003/1/18,1307.568817
2003/2/18,1322.275335
2003/5/18,1320.35508
2003/6/18,1331.472533
2003/7/18,1329.451064
2003/8/18,1320.961804
2003/9/18,1320.557672
2003/12/18,1319.09248
3/13/18,1322.730526
3/14/18,1323.538976
3/15/18,1318.688743
3/16/18,1309.948564
3/19/18,1312.272917
3/20/18,1310.858701
3/21/18,1321.316321
3/22/18,1329.197028
3/23/18,1346.826804
3/26/18,1352.685861
3/27/18,1341.622821
3/28/18,1332.530307
3/29/18,1323.842347
2004/3/18,1333.540076
2004/4/18,1337.428934
2004/5/18,1327.731392
2004/6/18,1331.266667
2004/9/18,1332.024055
2004/10/18,1339.094221
2004/11/18,1351.012155
2004/12/18,1341.5175
4/13/18,1343.890524
4/16/18,1349.596269
4/17/18,1342.273697
4/18/18,1351.715842
4/19/18,1348.837037
4/20/18,1336.869704
4/23/18,1324.297052
4/24/18,1328.891667
4/25/18,1321.621149
4/26/18,1320.661951
4/27/18,1321.46983
4/30/18,1313.08932
2005/1/18,1306.930508
2005/2/18,1304.002899
2005/3/18,1314.957952
2005/4/18,1309.253846
2005/8/18,1306.427338
2005/9/18,1313.747129
2005/10/18,1318.74463
2005/11/18,1324.347619
5/14/18,1319.804869
5/15/18,1294.719431
5/16/18,1290.934634
5/17/18,1289.168868
5/18/18,1287.958353
5/21/18,1288.009624
5/22/18,1292.75445
5/23/18,1288.66729
5/24/18,1304.665851
5/25/18,1303.303721
5/29/18,1295.22993
5/30/18,1300.478704
5/31/18,1305.172171
2006/1/18,1294.323502
2006/4/18,1295.181954
2006/5/18,1291.751376
2006/6/18,1299.875744
2006/7/18,1297.000228
2006/8/18,1298.009909
2006/11/18,1299.372727
2006/12/18,1298.414626
6/13/18,1295.892534
6/14/18,1302.552709
6/15/18,1284.895495
6/18/18,1281.163034
6/19/18,1275.715471
6/20/18,1273.748993
6/21/18,1265.628125
6/22/18,1268.656013
6/25/18,1268.203111
6/26/18,1259.729712
6/27/18,1253.980531
6/28/18,1250.904967
6/29/18,1249.796696
2007/2/18,1247.124835
2007/3/18,1251.110965
2007/4/18,1255.046499
2007/5/18,1254.896507
2007/6/18,1254.746514
2007/9/18,1261.506087
2007/10/18,1253.387419
2007/11/18,1250.766234
2007/12/18,1245.220086
7/13/18,1240.985345
7/16/18,1240.38172
7/17/18,1232.012017
7/18/18,1223.642612
7/19/18,1216.635043
7/20/18,1227.932516
7/23/18,1224.101915
7/24/18,1227.53259
7/25/18,1230.711017
7/26/18,1227.435201
7/27/18,1223.100633
7/30/18,1222.951158
7/31/18,1220.078992
2008/1/18,1218.114465
2008/2/18,1214.536611
2008/3/18,1215.395616
2008/6/18,1208.692083
2008/7/18,1211.416528
2008/8/18,1208.595228
2008/9/18,1213.436957
2008/10/18,1213.489256
8/13/18,1199.325258
8/14/18,1195.949794
8/15/18,1180.828747
8/16/18,1179.218033
8/17/18,1177.20409
8/20/18,1183.205102
8/21/18,1189.861202
8/22/18,1195.609756
8/23/18,1191.276978
8/24/18,1196.67247
8/28/18,1211.342121
8/29/18,1203.229032
