Date,7exp
2010/11/16,614.8463079
2010/12/16,636.733871
10/13/16,637.74875
10/14/16,635.5193939
10/15/16,639.8564706
10/16/16,649.3800285
10/17/16,640.8944444
10/18/16,637.8727027
10/19/16,630.05
10/20/16,628.3425641
10/21/16,632.947
10/22/16,658.7804878
10/23/16,656.2595238
10/24/16,654.1565116
10/25/16,658.37
10/26/16,654.0988889
10/27/16,679.2756946
10/28/16,687.1145707
10/29/16,691.265
10/30/16,699.1596639
10/31/16,707.894424
2011/1/16,701.753615
2011/2/16,739.4169373
2011/3/16,710.2362497
2011/4/16,694.5988655
2011/5/16,695.9106075
2011/6/16,714.4854124
2011/7/16,716.3924859
2011/8/16,716.4070283
2011/9/16,724.164146
2011/10/16,727.525662
2011/11/16,724.8173962
2011/12/16,715.8235418
11/13/16,710.9415793
11/14/16,712.1684611
11/15/16,715.6021833
11/16/16,717.333206
11/17/16,735.1405121
11/18/16,750.3279263
11/19/16,755.4701249
11/20/16,742.1499051
11/21/16,744.9124117
11/22/16,744.5620236
11/23/16,747.7583096
11/24/16,745.6912688
11/25/16,743.625502
11/26/16,741.4429992
11/27/16,736.4248329
11/28/16,734.3353467
11/29/16,737.7381359
11/30/16,746.0997207
2012/1/16,748.0358067
2012/2/16,771.5471248
2012/3/16,771.8920088
2012/4/16,770.977214
2012/5/16,764.4010065
2012/6/16,763.898672
2012/7/16,765.4961603
2012/8/16,773.9372322
2012/9/16,776.523968
2012/10/16,776.4971109
2012/11/16,782.3494294
2012/12/16,783.9742845
12/13/16,785.1223456
12/14/16,783.0832162
12/15/16,783.8238374
12/16/16,783.3289387
12/17/16,792.6595046
12/18/16,795.0946165
12/19/16,795.3624126
12/20/16,799.4102429
12/21/16,823.6702637
12/22/16,840.0663091
12/23/16,912.1705825
12/24/16,901.9930769
12/25/16,902.9219048
12/26/16,907.7330189
12/27/16,959.6746033
12/28/16,948.9859678
12/29/16,998.1557822
12/30/16,992.1809742
12/31/16,984.3614776
2001/1/17,1031.783579
2001/2/17,1062.291075
2001/3/17,1058.190424
2001/4/17,1185.79509
2001/5/17,1104.249875
2001/6/17,1007.199708
2001/7/17,938.0344476
2001/8/17,925.2748791
2001/9/17,919.5036368
2001/10/17,910.4882877
2001/11/17,812.3260611
2001/12/17,769.25434
1/13/17,841.7310964
1/14/17,821.0563419
1/15/17,827.7369568
1/16/17,834.6699558
1/17/17,906.3969346
1/18/17,919.3831609
1/19/17,902.8691213
1/20/17,903.3162064
1/21/17,903.0445551
1/22/17,926.3577308
1/23/17,931.8047388
1/24/17,928.7263121
1/25/17,903.7110103
1/26/17,920.8165963
1/27/17,926.4416062
1/28/17,926.7106295
1/29/17,926.5091248
1/30/17,919.5389293
1/31/17,970.2096624
2002/1/17,991.2515521
2002/2/17,992.3694236
2002/3/17,1022.306215
2002/4/17,1042.008606
2002/5/17,1045.476804
2002/6/17,1035.892964
2002/7/17,1058.972224
2002/8/17,1066.225792
2002/9/17,990.6186358
2002/10/17,1003.577689
2002/11/17,1011.482189
2002/12/17,1007.691896
2/13/17,1011.83176
2/14/17,1009.593175
2/15/17,1022.469445
2/16/17,1043.870002
2/17/17,1047.112364
2/18/17,1064.975112
2/19/17,1065.834953
2/20/17,1060.273716
2/21/17,1124.006046
2/22/17,1136.130362
2/23/17,1141.768874
2/24/17,1181.290303
2/25/17,1168.101986
2/26/17,1163.601579
2/27/17,1197.888797
2/28/17,1202.066981
2003/1/17,1204.267452
2003/2/17,1263.126008
2003/3/17,1297.102841
2003/4/17,1302.660257
2003/5/17,1288.920043
2003/6/17,1290.020573
2003/7/17,1294.330685
2003/8/17,1189.024952
2003/9/17,1200.061106
2003/10/17,1205.40075
2003/11/17,1194.142738
2003/12/17,1233.357346
3/13/17,1241.499014
3/14/17,1256.616432
3/15/17,1269.785219
3/16/17,1271.34667
3/17/17,1128.320979
3/18/17,959.2660298
3/19/17,975.0135979
3/20/17,1058.083109
3/21/17,1129.038002
3/22/17,1123.236458
3/23/17,1047.434368
3/24/17,948.5232136
3/25/17,934.2126667
3/26/17,991.2268394
3/27/17,1029.008231
3/28/17,1008.205959
3/29/17,1020.677218
3/30/17,1039.599788
3/31/17,1052.9218
2004/1/17,1105.371327
2004/2/17,1098.333556
2004/3/17,1074.708806
2004/4/17,1142.403133
2004/5/17,1134.776887
2004/6/17,1141.992438
2004/7/17,1200.65486
2004/8/17,1186.801574
2004/9/17,1192.518731
2004/10/17,1217.216353
2004/11/17,1234.304843
2004/12/17,1227.674601
4/13/17,1195.781146
4/14/17,1205.258114
4/15/17,1188.187442
4/16/17,1198.988426
4/17/17,1210.597756
4/18/17,1183.176327
4/19/17,1226.08919
4/20/17,1247.210635
4/21/17,1243.279088
4/22/17,1269.956375
4/23/17,1268.174119
4/24/17,1255.203885
4/25/17,1292.077138
4/26/17,1314.596699
4/27/17,1293.935155
4/28/17,1338.628406
4/29/17,1343.119717
4/30/17,1344.722819
2005/1/17,1424.249546
2005/2/17,1452.135542
2005/3/17,1450.43875
2005/4/17,1523.383906
2005/5/17,1548.78736
2005/6/17,1533.890928
2005/7/17,1551.233445
2005/8/17,1657.673103
2005/9/17,1668.2575
2005/10/17,1781.82793
2005/11/17,1840.814374
2005/12/17,1848.874074
5/13/17,1790.776898
5/14/17,1795.168198
5/15/17,1798.834959
5/16/17,1757.12723
5/17/17,1826.611435
5/18/17,1802.651968
5/19/17,1982.958416
5/20/17,2073.967073
5/21/17,2030.858889
5/22/17,2166.433555
5/23/17,2408.174855
5/24/17,2345.126846
5/25/17,2528.693776
5/26/17,2286.858097
5/27/17,2366.956077
5/28/17,2279.449075
5/29/17,2307.434251
5/30/17,2368.291122
5/31/17,2323.612092
2006/1/17,2486.22849
2006/2/17,2481.856165
2006/3/17,2608.959789
2006/4/17,2626.206424
2006/5/17,2626.281482
2006/6/17,3006.479214
2006/7/17,2832.618691
2006/8/17,2773.049501
2006/9/17,2925.173851
2006/10/17,2985.324557
2006/11/17,3028.767568
2006/12/17,2688.084386
6/13/17,2841.692966
6/14/17,2767.813627
6/15/17,2510.294435
6/16/17,2489.21678
6/17/17,2503.673861
6/18/17,2531.074512
6/19/17,2610.206056
6/20/17,2648.920044
6/21/17,2639.440326
6/22/17,2773.126387
6/23/17,2710.238282
6/24/17,2634.954532
6/25/17,2549.245106
6/26/17,2530.261684
6/27/17,2543.028824
6/28/17,2605.001502
6/29/17,2589.152071
6/30/17,2513.675012
2007/1/17,2524.790405
2007/2/17,2456.393403
2007/3/17,2567.801438
2007/4/17,2628.066922
2007/5/17,2637.19578
2007/6/17,2618.151299
2007/7/17,2543.90049
2007/8/17,2510.696509
2007/9/17,2563.029348
2007/10/17,2413.821012
2007/11/17,2332.443123
2007/12/17,2416.470525
7/13/17,2376.540978
7/14/17,2363.737122
7/15/17,2110.719973
7/16/17,1950.451747
7/17/17,1927.650097
7/18/17,2305.051455
7/19/17,2288.014166
7/20/17,2286.998366
7/21/17,2663.303792
7/22/17,2835.456479
7/23/17,2853.495524
7/24/17,2778.785219
